dateid,y,week,soldout,name,kcal,remarks,event,payday,precipitation,temperature,main_曇,main_大雨,main_晴,main_雨,main_快晴,main_薄曇,sub_曇,sub_ひょう,sub_雪,sub_大雨,sub_雷,sub_晴,sub_雨,sub_みぞれ,sub_薄曇
2014-04-01,125.0,Tue,1,メンチカツ,377.0,,,,0.0,13.9,,,1.0,,,,,,,,,,,,1.0
2014-04-02,99.0,Wed,0,肉じゃが,380.0,,,,0.0,15.2,,,,,,1.0,,,,,,1.0,,,
2014-04-03,100.0,Thu,1,酢豚,390.0,,,,65.0,13.8,,1.0,,,,,,,,,,,,,
2014-04-04,90.0,Fri,1,和風ソースハンバーグ,350.0,,,,40.0,15.3,,,1.0,,,,1.0,,,,1.0,,1.0,,
2014-04-07,107.0,Mon,0,青梗菜牛肉炒め,387.0,,,,0.0,11.4,,,1.0,,,,,,,,,,,,1.0
2014-04-08,96.0,Tue,1,肉団子のシチュー,353.0,,,,0.0,15.8,,,,,1.0,,,,,,,,,,
2014-04-09,88.0,Wed,1,青椒肉絲,376.0,,,,0.0,15.5,,,1.0,,,,,,,,,,,,1.0
2014-04-10,87.0,Thu,0,鶏の唐揚げおろしソース,362.0,,,1.0,0.0,16.1,,,1.0,,,,,,,,,,,,
2014-04-11,128.0,Fri,1,チキンカレー,,お楽しみメニュー,,,0.0,12.9,,,1.0,,,,,,,,,,,,
2014-04-14,92.0,Mon,0,ビーフトマト煮,340.0,,,,0.0,14.0,,,1.0,,,,1.0,,,,,,,,
2014-04-15,82.0,Tue,0,ポーク生姜焼き,370.0,,,,0.0,16.3,,,,,1.0,,,,,,,,,,
2014-04-16,57.0,Wed,0,カレイ唐揚げ野菜あんかけ,330.0,,,,0.0,18.7,,,,,,1.0,,,,,,,,,
2014-04-17,57.0,Thu,0,牛丼風煮,333.0,,,,0.0,17.7,,,1.0,,,,,,,,,,,,1.0
2014-04-18,56.0,Fri,1,鶏の味噌漬け焼き,325.0,,ママの会,,0.5,11.8,,,,1.0,,,1.0,,,,,,,,
2014-04-21,109.0,Mon,0,牛肉筍煮,375.0,,キャリアアップ支援セミナー,,7.0,13.4,,,,1.0,,,1.0,,,,,,,,
2014-04-22,78.0,Tue,1,マーボ豆腐,382.0,,,,4.5,15.2,1.0,,,,,,,,,,,1.0,1.0,,
2014-04-23,63.0,Wed,0,手作りひれかつ,340.0,,,,3.5,16.2,,,1.0,,,,,,,,,,,,
2014-04-24,56.0,Thu,1,鶏の照り焼きマヨ,360.0,,,,0.0,16.6,,,1.0,,,,,,,,,,,,
2014-04-25,80.0,Fri,0,中華丼,,お楽しみメニュー,,,0.0,17.8,,,1.0,,,,,,,,,,,,1.0
2014-04-28,54.0,Mon,0,タンドリーチキン,342.0,,,,0.0,18.6,1.0,,,,,,,,,,,,,,
2014-04-30,97.0,Wed,1,豚味噌メンチカツ,368.0,,,,27.0,16.7,,,,1.0,,,,,,,,,,,
2014-05-01,64.0,Thu,0,マーボ茄子,415.0,,,,23.0,20.6,1.0,,,,,,,,,,,1.0,1.0,,
2014-05-02,47.0,Fri,0,鶏の天ぷら,420.0,,,,0.0,21.0,,,1.0,,,,,,,,,,,,
2014-05-07,88.0,Wed,1,肉じゃが,415.0,,,,0.0,16.5,,,1.0,,,,,,,,,,,,
2014-05-08,59.0,Thu,0,メンチカツ,405.0,,,,0.0,18.7,,,,,,1.0,,,,,,,,,
2014-05-09,58.0,Fri,1,手作りチキンカツ,434.0,,,1.0,1.5,19.3,,,1.0,,,,,1.0,,,1.0,,1.0,,
2014-05-12,73.0,Mon,0,きのこソースハンバーグ,400.0,,,,1.0,19.6,,,,,,1.0,,,,,,,,,
2014-05-13,70.0,Tue,1,白身魚唐揚げ野菜餡かけ,428.0,,,,5.5,19.3,,,,1.0,,,1.0,,,,,1.0,,,
2014-05-14,64.0,Wed,1,メンチカツ,430.0,,,,0.0,21.9,,,,,,1.0,,,,,,,,,
2014-05-15,58.0,Thu,1,タンドリーチキン,403.0,,,,0.5,19.9,1.0,,,,,,,,,,,1.0,1.0,,
2014-05-16,126.0,Fri,0,ポークカレー,,お楽しみメニュー,ママの会,,0.0,21.5,,,1.0,,,,,,,,,,1.0,,
2014-05-19,70.0,Mon,1,豚肉と茄子のピリ辛炒め,406.0,,キャリアアップ支援セミナー,,0.0,21.1,,,,,,1.0,,,,,,,,,
2014-05-20,71.0,Tue,0,鶏の味噌漬け焼き,425.0,,,,0.0,21.7,,,,,,1.0,,,,,,,,,
2014-05-21,104.0,Wed,1,チーズハンバーグ,430.0,,,,52.0,17.5,,1.0,,,,,,,,,,,,,
2014-05-22,54.0,Thu,1,サーモンのムニエル2色ソース,428.0,こだわりメニュー,,,19.5,18.6,,,1.0,,,,,,,,1.0,,1.0,,
2014-05-23,65.0,Fri,0,牛肉コロッケ,400.0,,,,0.0,17.8,,,,,,1.0,,,,,,,,,
2014-05-26,77.0,Mon,1,鶏のカッシュナッツ炒め,430.0,,,,7.5,21.3,,,,,,1.0,,,,,,,,,
2014-05-27,79.0,Tue,0,牛肉すき焼き風,423.0,,,,21.5,21.4,1.0,,,,,,,,,,,,1.0,,
2014-05-28,74.0,Wed,1,鶏の唐揚げおろしソース,414.0,,,,0.0,22.7,,,,,,1.0,,,,,,,,,
2014-05-29,64.0,Thu,1,いか天ぷら,438.0,,,,0.0,23.1,,,1.0,,,,,,,,,,,,1.0
2014-05-30,119.0,Fri,0,チキンカレー,,お楽しみメニュー,,,0.0,24.1,,,,,,1.0,,,,,,1.0,,,
2014-06-02,74.0,Mon,0,ハンバーグケッチャップソース,420.0,,,,0.0,25.5,,,1.0,,,,,,,,,,,,1.0
2014-06-03,59.0,Tue,0,ゴーヤチャンプルー,418.0,,,,0.0,24.0,,,,,,1.0,,,,,,,,,
2014-06-04,47.0,Wed,0,たっぷりベーコンフライ,424.0,,,,0.0,24.3,,,1.0,,,,,,,,,,,,1.0
2014-06-05,64.0,Thu,1,鶏の味噌漬け焼き,405.0,,,,18.0,21.2,,,,1.0,,,1.0,,,,,,,,
2014-06-06,93.0,Fri,0,手作りロースカツ,430.0,,,,123.5,19.9,,1.0,,,,,,,,,,,,,
2014-06-09,74.0,Mon,1,牛肉ニンニクの芽炒め,417.0,,,,4.5,22.9,1.0,,,,,,,,,,,,1.0,,
2014-06-10,56.0,Tue,0,カレイ唐揚げ野菜餡かけ,426.0,,,1.0,2.0,23.5,1.0,,,,,,,,,,,,,,
2014-06-11,50.0,Wed,1,チャプチェ,413.0,,,,13.0,22.2,,,,1.0,,,1.0,,,,,,,,
2014-06-12,72.0,Thu,1,タンドリーチキン,440.0,,,,16.0,22.0,,,,1.0,,,1.0,,,,,,,,
2014-06-13,121.0,Fri,0,キーマカレー,,お楽しみメニュー,,,1.5,24.9,,,1.0,,,,,,,,1.0,,1.0,,
2014-06-16,76.0,Mon,1,牛すき焼き風,440.0,,,,0.0,25.0,,,,,,1.0,,,,,,1.0,,,
2014-06-17,63.0,Tue,0,ポークソテー韓国ソース,427.0,,,,0.0,24.3,,,,,,1.0,,,,,,,,,
2014-06-18,66.0,Wed,1,ビーフストロガノフ,426.0,こだわりメニュー,,,0.0,23.2,1.0,,,,,,,,,,,,1.0,,
2014-06-19,56.0,Thu,0,アジ唐揚げ南蛮ソース,430.0,,,,0.0,24.8,,,1.0,,,,,,,,,,,,
2014-06-20,57.0,Fri,0,炊き込みご飯,407.0,,,,0.0,24.6,,,,,,1.0,,,,,,1.0,,,
2014-06-23,72.0,Mon,0,マーボ茄子,421.0,,,,0.0,24.2,1.0,,,,,,,,,,,,,,
2014-06-24,61.0,Tue,0,鶏のトマトシチュー,430.0,,,,5.0,22.6,1.0,,,,,,,,,,1.0,,1.0,,
2014-06-25,64.0,Wed,1,豚の冷しゃぶ,420.0,,,,5.5,22.6,1.0,,,,,,,,,,1.0,,1.0,,
2014-06-26,49.0,Thu,0,キスと野菜の天ぷら,414.0,,,,0.0,23.6,1.0,,,,,,,,,,,,,,
